"","Longitude","Latitude","sradedit","sradedit.1","sradedit.2","sradedit.3","sradedit.4","sradedit.5","sradedit.6","sradedit.7","sradedit.8","sradedit.9","sradedit.10","sradedit.11"
"14863",130.4033936,49.19552097,7318.1287682616,11472.5853323215,16583.9614860732,20115.6752970201,23986.9349589779,26550.1513821909,24224.6993562749,23256.4947008931,19487.3117822016,13434.6702083652,8173.92685376618,6164.27311111768
"14864",134.0564745,46.01691642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14865",128.4483982,51.10148719,6433.18966973169,10573.9438381394,16170.0163377124,20227.6236193905,23708.2446291135,26738.7351569532,25014.5190337376,22822.0087305106,18657.3981866914,12487.0854489408,7362.66421914522,5288.00218471294
"14866",130.1243884,49.39762774,7522.43821295244,11544.0956956596,16255.4103052598,20627.4271648092,22648.0560125951,25412.4263373753,22545.3886908572,22359.808279622,19984.9186863363,13809.6738499652,8588.64205157789,6371.7989241706
"14867",135.1791181,48.22365405,8844.22553697532,13324.9555444331,18733.7652998671,22097.0763201061,25244.7904720021,27785.8816065998,24016.8391509555,23809.6594183236,20811.1969162176,15256.0928635939,10073.3097279403,7612.31674677436
"14868",132.0286304,48.11364016,7979.76522374315,11945.4678250004,17508.871075897,20759.5980361084,24532.4553133546,27589.9206405947,22511.79789492,22998.7141759547,19688.1046105317,14178.294313663,9067.85109842885,6785.35613866882
"14869",115.8838725,56.5068326,4981.45431460668,8744.60295831448,15388.4011365816,21343.3066052604,25602.0371598494,28988.3263415675,27912.6747940518,24098.414764921,18618.3759928206,11578.5093998199,5985.74325670853,4015.8675522037
"14870",72.66390776,61.24475677,2481.81904361276,6127.27953725103,12036.9822967795,18922.6249429947,24791.718039079,28386.546300966,27189.2285649178,20749.6211584651,13271.1048818792,7310.76894573251,2781.73649735574,1658.26943269275
"14871",106.9230289,58.72095731,3105.50379179463,6956.16787499118,13228.8687503796,18184.6545920912,23143.2734625315,27249.6108773962,26532.2051019529,23009.8883053909,15515.754278993,8661.60539343936,3642.98889511539,2205.66197880962
"14872",58.07459427,53.91112178,4860.30593563213,9107.7407352778,14501.1471472639,20917.2061798044,27760.4855684058,30549.6565394009,29652.7989320199,25644.6971656942,19203.1218548,11727.561846888,5587.23434954994,3964.86814036417
"14873",145.6555459,68.34168008,679.334719784264,3462.47729255764,9473.59654648732,18576.8097194321,25455.3367096388,27553.9388049739,26564.8569378461,19251.2378745844,10910.1650929554,5596.13647301264,1396.90105061417,276.212810189887
"14874",107.016321,63.14597988,1933.71754452099,5048.04399045717,10326.9816676185,15941.7848358132,21456.077219995,26217.2868660952,25074.8768173897,20062.926348381,11755.8526402599,5049.05846474405,2418.06573745895,1261.07402774598
"14875",116.0655619,56.54344077,4982.86007802979,9007.80011185948,15588.0678833852,20935.6460876124,24426.2394304897,28445.3573279953,26719.126336587,23379.4408408955,18142.5270785187,11424.3901941255,5966.81761916642,3941.37697794875
"14876",113.5132615,54.42649089,5332.17389513238,9508.60579812492,15971.8940298853,22088.1629695333,26924.4940221552,28396.7675454918,26963.1817403237,24029.3980689252,18768.8774835721,11721.0488387795,6414.78191844676,4293.03998382584
"14877",87.17279995,63.67144539,1776.272849133,5049.40270504731,10305.0135129499,17331.7120398374,21322.3071161025,26955.0203050929,25423.4368885938,18860.8633985771,11437.2277076943,5193.65693751173,2220.51865350233,1073.18007517714
"14878",70.96312064,57.79368517,3530.09915026083,7399.88183114863,13448.8320672944,20522.2271786142,26767.7057768145,28616.6078423447,27238.0736185038,22732.5285082769,16132.6304944514,9216.56683172445,4081.82975283193,2564.19663348806
"14879",56.49979773,60.43901955,2438.13516505122,6075.98005068104,10514.3559847664,17939.1400047192,24627.9508067236,28055.7083879495,27404.7435289702,21381.0541028728,12459.454385838,6199.86884369786,2658.95426524688,1673.2954175916
"14880",106.8631488,60.20504283,2623.97415593584,5979.48833397575,11755.4896166098,17928.6789384437,22017.4420471136,26281.0640317223,25291.2473549522,20722.4760612579,13090.4745676009,6470.05184354124,3145.75265488865,1871.39851837035
"14881",88.35767007,57.49625973,3780.06323907112,7432.31928104894,12946.0595829408,18273.8984066886,23101.3893740438,27726.6895282171,27371.6850958262,22509.9884657834,16286.7422767589,8707.02564823965,3981.4400877322,2682.51435198326
"14882",31.77725416,59.28244637,2563.42647974052,5789.06285462878,11764.8444249333,17831.0738614475,24575.6826350925,26623.5428997229,27533.6363674264,21444.6258745395,13700.0376595866,6501.05121870875,2507.76445564,1603.17816694325
"14883",54.39084348,61.64291072,2163.99694490474,5643.9697505015,9831.38640436254,17724.1678197902,24421.5219761139,27555.4620645375,27849.4571413285,21413.190829432,12053.6728878795,5624.35101028728,2273.74303183776,1431.67103845225
"14884",105.7929765,58.39227015,1949.43366128719,5739.15530757864,12699.3130124737,19772.177870681,23506.1917522223,26969.4897393236,26306.2889061706,22347.3741957972,15021.6262532493,8663.54310210046,3470.93444197537,1587.65840204146
"14885",123.041375,55.34096914,5244.41447337742,9462.09231432507,15862.0291778915,20231.1157536076,22537.6478564982,27061.3794473958,24591.4894494965,23151.2452284436,17861.465518353,11283.1848703946,6430.08723634784,4139.57597052301
"14886",81.73058387,65.28899152,1288.9814447565,4404.22392305661,10012.5855452171,17920.744613217,22555.9527406294,28239.6625621454,26249.0136085963,17676.007356498,11220.3318995072,4664.18961933004,1800.12097085316,678.534877986544
"14887",124.8481338,59.77500584,2983.26347198574,6758.9173209823,13243.5834632809,19062.6356282868,21071.8886296943,26027.6312370532,24548.790486807,19846.141446787,14266.1306651803,8268.63977078775,4025.87015097508,2097.03908357991
"14888",113.7238345,55.42299636,5413.62184814882,9624.06120936463,16232.7460902466,22415.2906558969,26481.438953211,28689.0970822187,27245.2881426713,23477.2204790064,18913.8205140096,11508.7617498384,6289.92088384395,4266.90209345022
"14889",117.3313464,51.88869932,6598.80275062065,10899.3133303338,17342.8620202537,23570.6459496445,28277.6038842315,30020.3882287834,28413.6808814067,26231.6390472881,20003.1412338814,13304.29396768,7882.24018838067,5491.79761580131
"14890",117.8822363,61.84372748,2941.79917511877,6827.18717958383,13477.7685226302,20036.8273303551,23319.1004095364,27687.1727686596,25294.6510160466,19882.6306892237,13729.0023494073,8333.69054398271,4029.71533559879,2134.88698513498
"14891",155.7639672,67.69488282,643.326300926366,3092.20193829877,9385.59706814702,18516.225362707,24853.7620206654,28348.8973351039,26867.4058455378,18544.7771510182,10646.7849378106,5172.16092474955,1255.27274088827,298.153181229531
"14892",31.1113825,58.478854,2629.95670574083,5604.52201806012,11939.5236655554,17603.8615124914,23551.0304454077,25488.0975362125,26306.3046026849,21868.6692295145,13923.6484903521,7444.84992206008,2659.99720380085,1664.21942717604
"14893",49.54352952,62.11770754,1857.63294058359,4973.45875482294,9999.07561410678,17613.3512870487,24466.7882117591,27457.0678121154,27894.6845989686,21569.7618385719,12238.1685100456,5832.73596196441,1930.77499049195,1145.40789959686
"14894",124.8530318,60.15861383,3347.00132445291,7345.53772153218,14129.7133377064,20695.2582699197,23561.5294766399,28578.3895516945,26282.4667984391,21693.862813265,15611.9254225508,9181.14196071587,4473.58102793958,2355.81555761826
"14895",108.7649006,63.57608977,1658.15823387619,4725.98152437186,10261.0555584683,15552.8045701123,21499.6010700822,26505.0187623637,25633.3891950816,19781.5284545821,11780.4168131903,4907.81452950314,2228.29633548325,1055.62581832162
"14896",120.6046691,61.38211626,2781.97239818914,4916.92225211552,7557.91945023925,11517.2277258445,14719.091177925,22809.4236382706,20933.2674827684,16941.704839803,12065.1895652373,4494.95364884955,3231.75176836529,2060.69304284863
"14897",120.472284,64.54016136,1470.26091894169,4506.18594523104,10199.4420713595,16148.7037825878,20661.1987380687,26144.6675510633,25077.0114102149,18170.5983226318,11533.6203790779,4812.08000999437,2176.5355934034,889.314571397022
"14898",122.2143568,55.63540593,4692.04276273218,8797.21829505082,15023.0778485732,18709.1917449824,22211.5071175422,23918.4931792464,22769.5012971476,21123.6983500269,16797.7299796946,10083.95449625,5642.23145557371,3598.82091370056
"14899",125.5160164,55.35894133,4875.77599176274,9014.15095871457,15568.4435335284,20518.5064345942,23695.2332358875,27824.261400352,26231.3202687992,23018.9439821789,17787.6367093181,11057.607039434,5990.00185814596,3865.16932394653
"14900",51.47950101,61.89008595,1975.65002653949,5373.86056809561,9553.73177868629,18176.4385234129,24337.8192627988,27162.4447852176,27676.0582748859,21026.1833033774,12283.470078879,5672.44611163703,2051.82803960875,1239.86150734828
"14901",112.7290554,62.15840105,1595.25020729173,4000.49455300869,8890.97319000907,15827.7175392394,20243.4583249958,25177.4476306928,24373.4863507861,18083.9307746706,11266.326707908,5048.47516118924,2256.90274225369,1110.29797483936
"14902",119.4624688,52.03259382,5519.07877984053,10279.3926528566,16962.5433970128,22184.6917292742,26633.9987001319,27973.58616774,27735.3932728917,24918.7510266676,19480.3142114008,12741.7480488999,7325.51861556946,4500.04927554298
"14903",107.4083096,64.04113982,1743.17949080056,4967.48447444117,10305.1235324848,14727.6305618613,21064.247981576,26488.5960246791,25552.8295798785,19794.4636099659,11409.0851238058,4648.13540228183,2419.4316467209,1080.08347408044
"14904",125.4316324,61.8094425,2481.67732952501,6206.89583326273,12763.5940431753,19233.6585576544,21899.6039603725,25964.0793814944,23733.813748517,19250.4276107188,13041.8871806316,6680.48677328929,3441.29243242237,1705.60840710666
"14905",46.54624446,61.20816719,2036.28526220229,5017.15849106677,10735.6224654456,17972.5792842425,25585.99608732,27420.1056107365,28172.5390030743,22043.9643380956,12452.5520256412,6425.20500435235,2109.64021540339,1393.57189912892
"14906",69.77598191,60.0081927,2650.19795428363,6233.48960037271,12149.6436250154,19359.5571396581,25458.1004073436,29036.3944154901,27405.1309275382,21772.4231172755,14296.2148686464,8100.15267991456,3099.63856502909,1888.43801314181
"14907",56.89810909,65.94183348,1178.89609516673,4175.45402847861,8489.54658822229,15179.4717124304,22896.3068662747,26803.4122863221,26912.5927756191,18575.5271634478,9670.94607119915,3549.04446709949,1397.00328833488,588.719250211686
"14908",115.345475,62.09569205,1728.50239666861,3580.86683204276,7182.65448837885,13434.1985085896,18895.2900677576,22839.6229480558,23867.8273422781,17118.7612691522,10697.5582837045,4268.80052751989,1982.54446290279,1303.82761398085
"14909",83.62256956,57.90189083,3212.91743976285,6843.67707230713,13351.8479763172,20304.7534509063,24834.1363838543,29554.3354294151,28297.4697237774,22731.6334149808,16343.4747412933,8702.4306204259,3695.01668528326,2267.99189884326
"14910",112.7412552,54.60585023,5271.27569277809,9633.07712818191,15994.7628732543,22119.1978451994,26821.1433479853,29113.162317865,27205.5401333996,24252.1621260596,18798.3554465482,11927.8530916048,6518.97797084049,4186.78841307953
"14911",106.8659877,61.13517417,2597.50495484695,5597.81860960033,10151.0932092835,15793.7358458173,19370.5466489936,23969.3009069805,24218.5563860714,19705.4835330088,12505.2480301328,5261.44895897002,2776.87628326848,1821.96239517721
"14912",109.3859258,62.89503549,1241.88276220802,3708.8246081935,9768.06614457447,16546.6050567413,21947.286543017,26642.8939874256,26580.4222314316,19939.767240647,11417.3463496332,4754.38517044277,1468.29913268657,863.986294086662
"14913",154.1184805,64.82921998,572.51328858177,2486.73473232551,8351.65254497754,17442.3606494374,25281.0900804572,28587.1089314512,27617.5117454998,19895.0083569028,12699.4264968091,5699.12426105416,1142.44824761469,253.009033781771
"14914",45.18438297,62.05585992,1845.40440823207,4906.40541248369,10030.874669464,17420.228090502,24433.6176214475,27067.931063481,27326.2194562851,20871.5136288141,11780.1326796691,5572.77425492153,1874.17147447207,1072.87340402565
"14915",117.9209022,60.52471822,2956.076423318,6553.75215755482,13263.9839806855,18945.8408037891,22480.9138300974,25782.327382968,24091.3769497815,20226.5300306143,15084.7810529573,8462.06396443147,3914.51525758592,2167.03638839299
"14916",107.0010847,55.75965665,3570.69320646331,7772.29754778592,15520.0149041512,22085.4685278656,27983.7954732239,29298.3698552768,27510.2183340351,24038.4504525208,18260.8015363864,11093.1310634392,5768.06144561729,3091.84849055356
"14917",111.9305854,62.23382408,1395.13820823991,4278.8890286704,10423.101234196,17206.9083579481,22474.5568120319,26905.7370195087,26866.4239156844,19482.037263591,12301.1362083752,5725.52481850138,2526.57779671773,1132.81025274588
"14918",120.6088227,54.77882735,4000.08934698871,8005.27716806593,15311.9802712771,20993.9893167557,24463.787803149,26739.008621607,26293.4639755779,23292.8420319779,17768.6835447435,10980.7113633877,5148.04626483419,3226.26702388377
"14919",56.75524031,63.91877129,1478.55521754246,4634.04785123744,9074.61811074817,17413.5475757296,24385.4339579362,26900.5302941515,27486.8857613566,19823.577388532,11256.8202484114,4410.32788715446,1765.30062011296,886.288659021955
"14920",85.29413165,58.65739491,2302.22114493338,5973.43615234226,12012.6974081268,18725.9253568093,25325.9713352729,29115.9329989036,26989.6526853779,22290.2457979402,15683.3264225122,8489.53615093574,2944.72931418568,1499.20730343237
"14921",112.1143586,53.73025693,5809.64931242645,10169.7718529637,16769.9530429868,23095.7967387175,27919.2124708189,29095.2890731723,26917.9531724632,24918.1893826923,19551.7850810837,12520.7129805343,7152.22608350469,4748.73691649163
"14922",108.6742584,62.4216574,2013.25983658607,5044.41352787446,10688.248401121,16254.5907953989,22562.5427279812,26503.537048387,26372.4649577955,20710.1453736399,12314.9880192698,5514.0023370913,2681.72374607907,1341.58017388745
"14923",111.3227873,63.66955464,1768.04900629456,4839.22192326831,10378.7687108916,16700.525399275,20823.9310806322,27152.2347665541,26184.3981072333,19075.6530220959,12203.461569716,4950.37757557564,2481.52582583164,1140.54357255156
"14924",118.7228757,52.00397233,6656.46190190489,10974.8929880949,17436.6094653948,23066.1854077201,27050.8142117414,28678.34028626,28000.2207842329,25220.2602449498,19915.9617678549,13218.1694222698,7829.15717316497,5512.95239627487
"14925",122.1963656,60.10056254,3263.98412036229,7246.21443066527,13966.6217848704,20299.5219942478,22567.9451673577,26790.7412786198,25019.7216752929,20414.4065661812,14816.6456338336,8843.54224865062,4279.35505186484,2346.17172507863
"14926",114.3104671,62.48422281,1868.13708052358,4308.92353970502,9197.30048951752,15368.9333724554,18917.2773119605,24724.1974351042,24424.2509786599,17990.399858129,11193.2995719527,4806.55020157463,2649.5038185421,1339.78669236305
"14927",123.6389141,59.96042153,2243.31709458468,5468.38020443745,11366.7709415677,16470.4036614564,19673.2112972358,24530.9676251084,22178.3173876789,18029.5185835436,12668.523569214,6852.56305753922,3035.53258578402,1540.41245048293
"14928",126.5362702,64.23875369,1704.75885185271,5051.67771577288,11298.130688834,18043.3094402337,22096.4592369212,27260.8312855149,25704.0966517069,19058.6093236093,11755.0146325917,5095.280061558,2591.17620414545,1053.41636270743
"14929",108.6839049,63.7267412,1798.51382994684,4993.05403178738,10798.7759987391,15808.4946140098,21546.6923298555,26598.6902487675,25684.3029596533,19737.2781868174,11589.8227023115,4727.64445555691,2401.26876144558,1144.93863254936
"14930",118.3404039,56.94521689,4352.44636486307,8396.12450187434,15055.6544453448,19352.2432735943,22457.8161903009,26636.1904720526,25531.629685233,21988.3225563287,16833.6187456543,10533.6732290058,5457.73625422305,3368.44874470274
"14931",133.6696351,61.91438821,2501.50823389335,6160.68604354184,12545.5127596108,18850.106903317,22736.1770437237,27486.2966956689,25925.9090812223,20470.7952862182,12512.1359390374,6246.44367880694,3339.26932898266,1724.08613025875
"14932",122.6249264,61.28296036,2324.6750360254,5929.8048903808,12444.1767327267,19205.307509447,21919.3254849876,25804.3188955072,23999.5337888763,18634.0442160534,13332.2447749698,7611.62616736604,3319.05324018712,1669.42488352034
"14933",106.0356408,58.63198571,2617.15426172626,6364.76130754928,13577.884341476,19974.493971397,23621.9403531255,28841.7694491069,27745.0707490325,22820.4371792222,15602.4248166686,8539.36531178648,3774.64034805993,1914.91659285019
"14934",100.74,35.47,13228.9160000012,16606.7620000011,20658.7920000007,22842.1919999999,26153.4359999994,25894.4179999988,26609.7260000002,27048.2100000006,22469.1580000006,17336.1620000006,14717.6200000012,12408.9020000013
"14935",100.74,35.47,13228.9160000012,16606.7620000011,20658.7920000007,22842.1919999999,26153.4359999994,25894.4179999988,26609.7260000002,27048.2100000006,22469.1580000006,17336.1620000006,14717.6200000012,12408.9020000013
"14936",98.57,36.86,13340.22,16242.838,19875.0979999999,21853.134,24551.6659999999,22416.2039999998,24976.066,23789.7399999999,22060.9800000001,16861.4919999999,15086.504,12715.352
"14937",98.57,36.86,13340.22,16242.838,19875.0979999999,21853.134,24551.6659999999,22416.2039999998,24976.066,23789.7399999999,22060.9800000001,16861.4919999999,15086.504,12715.352
"14938",110.1975,39.495833,12148.9250584002,15481.5482600003,20769.5372776001,24945.1126064003,28140.1844552001,30357.5700696001,24653.7242840002,24643.5426920002,21181.9573088001,17686.5682912001,13687.7027072002,11181.7359632001
"14939",96.85,33.05,15846.9999999998,16614.2999999997,15535,15586.0000000002,14737.2500000004,11147.45,9640.10000000009,9175.24999999972,10453.6499999995,14070.1499999997,16755.8499999998,15349.8499999998
"14940",96.85,33.05,15846.9999999998,16614.2999999997,15535,15586.0000000002,14737.2500000004,11147.45,9640.10000000009,9175.24999999972,10453.6499999995,14070.1499999997,16755.8499999998,15349.8499999998
"14941",97.12,33.32,20465.7219999995,22063.2939999997,21286.1760000001,21800.8440000003,23440.9960000004,23705.6840000004,23025.6420000004,22342.5360000003,24241.652,22692.8379999998,21488.9779999995,19819.9679999994
"14942",97.12,33.32,20465.7219999995,22063.2939999997,21286.1760000001,21800.8440000003,23440.9960000004,23705.6840000004,23025.6420000004,22342.5360000003,24241.652,22692.8379999998,21488.9779999995,19819.9679999994
"14943",101.96,36.27,12099.1199999984,14991.3839999989,17931.274,20812.3200000007,23603.4580000017,24361.3340000019,25552.7420000011,26372.0300000004,21981.486,16500.9259999996,13562.7459999983,11400.7619999982
"14944",101.96,36.27,12099.1199999984,14991.3839999989,17931.274,20812.3200000007,23603.4580000017,24361.3340000019,25552.7420000011,26372.0300000004,21981.486,16500.9259999996,13562.7459999983,11400.7619999982
"14945",97.12,33.33,22311.156,22536.638,19763.52,19216.896,20032.1500000001,20334.7920000001,19355.0960000001,19143.4820000001,22672.928,22703.728,23044.038,21949.558
"14946",97.12,33.33,22311.156,22536.638,19763.52,19216.896,20032.1500000001,20334.7920000001,19355.0960000001,19143.4820000001,22672.928,22703.728,23044.038,21949.558
"14947",94.78,36.19,13588.1140000012,16670.2420000014,20562.8960000009,22690.2020000003,25679.6240000007,23932.4379999986,22671.3640000005,22857.2200000005,20140.5620000003,18061.6840000003,15330.1840000013,12944.2300000014
"14948",94.78,36.19,13588.1140000012,16670.2420000014,20562.8960000009,22690.2020000003,25679.6240000007,23932.4379999986,22671.3640000005,22857.2200000005,20140.5620000003,18061.6840000003,15330.1840000013,12944.2300000014
"14949",99.9,33.97,15609.719999999,19174.4799999991,20242.0699999979,22496.9199999971,24735.9899999974,23609.3799999981,20809.6799999999,20886.7099999984,21227.8099999992,19650.5299999992,16748.709999999,14486.749999999
"14950",99.9,33.97,15609.719999999,19174.4799999991,20242.0699999979,22496.9199999971,24735.9899999974,23609.3799999981,20809.6799999999,20886.7099999984,21227.8099999992,19650.5299999992,16748.709999999,14486.749999999
"14951",111.2,39.18333333,11991.0999686802,14634.7499449002,19955.8999965203,25177.6166552601,27485.6499878202,30186.7499622999,26258.3500759799,25832.11670166,21892.1166552601,17873.7832716604,13538.8166158202,11289.0499379402
"14952",111.2,39.18333333,11991.0999686802,14634.7499449002,19955.8999965203,25177.6166552601,27485.6499878202,30186.7499622999,26258.3500759799,25832.11670166,21892.1166552601,17873.7832716604,13538.8166158202,11289.0499379402
"14953",111.2,39.18333333,11991.0999686802,14634.7499449002,19955.8999965203,25177.6166552601,27485.6499878202,30186.7499622999,26258.3500759799,25832.11670166,21892.1166552601,17873.7832716604,13538.8166158202,11289.0499379402
"14954",94.55,35.88,14280.6700000003,17057.9900000003,19030.7099999998,21714.6400000003,24543.5300000001,26919.0600000001,27809.2100000002,26038.1699999998,23210.96,18650.32,16102.8600000003,13627.6300000003
"14955",94.55,35.88,14280.6700000003,17057.9900000003,19030.7099999998,21714.6400000003,24543.5300000001,26919.0600000001,27809.2100000002,26038.1699999998,23210.96,18650.32,16102.8600000003,13627.6300000003
"14956",110.1516667,39.486944,12108.965969509,15267.4689580198,20362.5873302852,24913.5151000691,28385.0256672922,30164.2936129038,24997.3480870514,24048.4789929085,21271.4671356759,17695.6368831206,13679.3760447669,11232.2065127669
"14957",99.16,37.17,15114.8960000012,17568.872000001,21056.0940000006,22531.1900000002,24055.0419999996,21995.3419999994,22681.3460000001,21731.6399999997,22562.5240000004,18078.1560000003,17116.4140000011,15106.2780000014
