"","co"
"747",364.246571428571
"748",364.246571428571
"749",364.246571428571
"750",364.246571428571
"751",364.246571428571
"752",364.246571428571
"753",364.246571428571
"754",364.246571428571
"755",364.246571428571
"756",364.246571428571
"757",364.246571428571
"758",364.246571428571
"759",364.246571428571
"760",364.246571428571
"761",364.246571428571
"762",364.246571428571
"763",364.246571428571
"764",364.246571428571
"765",364.246571428571
"766",364.246571428571
"767",364.246571428571
"768",364.246571428571
"769",364.246571428571
"770",364.246571428571
"771",364.246571428571
"772",364.246571428571
"773",364.246571428571
"774",364.246571428571
"775",364.246571428571
"776",364.246571428571
"777",364.246571428571
"778",364.246571428571
"779",364.246571428571
"780",364.246571428571
"781",364.246571428571
"782",364.246571428571
"783",364.246571428571
"784",364.246571428571
"785",364.246571428571
"786",364.246571428571
"787",364.246571428571
"788",364.246571428571
"789",364.246571428571
"790",364.246571428571
"791",364.246571428571
"792",364.246571428571
"793",364.246571428571
"794",364.246571428571
"795",364.246571428571
"796",364.246571428571
"797",364.246571428571
"798",364.246571428571
"799",364.246571428571
"800",364.246571428571
"801",364.246571428571
"802",364.246571428571
"803",364.246571428571
"804",364.246571428571
"805",364.246571428571
"806",364.246571428571
"807",364.246571428571
"808",364.246571428571
"809",364.246571428571
"810",364.246571428571
"811",364.246571428571
"812",364.246571428571
"813",364.246571428571
"814",364.246571428571
"815",364.246571428571
"816",364.246571428571
"817",364.246571428571
"818",364.246571428571
"819",364.246571428571
"820",364.246571428571
"821",364.246571428571
"822",364.246571428571
"823",364.246571428571
"824",364.246571428571
"825",364.246571428571
"826",364.246571428571
"827",364.246571428571
"828",364.246571428571
"829",364.246571428571
"830",364.246571428571
"831",364.246571428571
"832",364.246571428571
"833",364.246571428571
"834",364.246571428571
"835",364.246571428571
"836",364.246571428571
"837",364.246571428571
"838",364.246571428571
"839",364.246571428571
"840",364.246571428571
"841",364.246571428571
"842",364.246571428571
"843",364.246571428571
"844",364.246571428571
"845",364.246571428571
"846",364.246571428571
"847",364.246571428571
"848",364.246571428571
"849",364.246571428571
"850",364.246571428571
"851",364.246571428571
"852",364.246571428571
"853",364.246571428571
"854",364.246571428571
"855",364.246571428571
"856",364.246571428571
"857",364.246571428571
"858",364.246571428571
"859",364.246571428571
"860",364.246571428571
"861",364.246571428571
"862",364.246571428571
"863",364.246571428571
"864",364.246571428571
"865",364.246571428571
"866",364.246571428571
"867",364.246571428571
"868",364.246571428571
"869",364.246571428571
"870",364.246571428571
"871",364.246571428571
"872",364.246571428571
"873",364.246571428571
"874",364.246571428571
"875",364.246571428571
"876",364.246571428571
"877",364.246571428571
"878",364.246571428571
"879",364.246571428571
"880",364.246571428571
