"","GRAVsite"
"745",4.63638399997739
"746",10
"747",10.9037866666729
"748",15.6799999999987
"749",25
"750",7
"751",11
"752",2
"753",7
"754",14
"755",14
"756",6
"757",6
"758",6
"759",6
"760",15
"761",27
"762",5
"763",5
"764",5
"765",6
"766",6
"767",6
"768",6
"769",11
"770",11
"771",11
"772",11
"773",17
"774",41.4079999999926
"775",6
"776",25
"777",8.93333333333775
"778",5
"779",15
"780",14.9906346666211
"781",15
"782",11
"783",27
"784",NA
"785",2
"786",44.589333333334
"787",6.41280000000544
"788",19.9333333333245
"789",17.710000000002
"790",25
"791",15
"792",12
"793",13.7499999999652
"794",2.3333333333725
"795",16
"796",16
"797",17
"798",17
"799",17
"800",23.5999999999953
"801",19
"802",NA
"803",NA
"804",NA
"805",NA
"806",NA
"807",NA
"808",NA
"809",NA
"810",NA
"811",NA
"812",NA
"813",NA
"814",NA
"815",NA
"816",NA
"817",NA
"818",NA
"819",NA
"820",8.25000000000066
"821",10.3333333333351
"822",22.2000000000014
"823",25
"824",14
"825",14
"826",35.8333333333444
"827",25
"828",16.5000000000051
"829",15
"830",21.4166666666679
"831",6.83333333333311
"832",6.83333333333311
"833",6.83333333333311
"834",11.7499999999679
"835",18.749999999959
"836",2
"837",14
"838",6.75000000000938
"839",NA
"840",NA
"841",NA
"842",NA
"843",NA
"844",NA
"845",NA
"846",NA
"847",NA
"848",NA
"849",NA
"850",NA
"851",NA
"852",NA
"853",10
"854",4
"855",13.8999999999812
"856",15
"857",32
"858",5
"859",19.9166666666695
"860",15.1666666666437
"861",14
"862",6
"863",6
"864",5.75
"865",21
"866",11.5000000000102
"867",2
"868",14
"869",5
"870",24
"871",44.4166666666669
"872",44.4166666666669
"873",15.4239999999946
"874",15.9999999999945
"875",15.4999999999966
"876",30
"877",19.2000000000102
"878",19.2000000000102
"879",19.2000000000102
"880",19.2000000000102
"881",19.2000000000102
"882",19.2000000000102
"883",19.2000000000102
"884",19.2000000000102
"885",19.2000000000102
"886",19.2000000000102
"887",19.2000000000102
"888",19.2000000000102
"889",19.2000000000102
"890",19.2000000000102
"891",4.18333333333358
"892",14.7400000000013
"893",15
"894",5
"895",11
"896",11
"897",11
"898",26
"899",NA
"900",12
"901",27
"902",11
"903",9
"904",20.6984533333306
"905",18
"906",32
"907",5.62337066668076
"908",17
"909",8
"910",8
"911",8
"912",8
"913",8
"914",8
"915",8
"916",8
"917",8
"918",8
"919",8
"920",5
"921",NA
"922",15
"923",15
"924",22.5919999999936
"925",15
"926",15
"927",7.55155199999982
"928",25
"929",15
"930",17.0799999999857
"931",5
"932",NA
"933",NA
"934",NA
"935",NA
"936",NA
"937",NA
"938",NA
"939",26
"940",NA
"941",11
"942",11
"943",NA
"944",17.1866666666596
"945",14.3066880000151
"946",17
"947",2
"948",2
"949",2
"950",2
"951",2
"952",2
"953",2
"954",2
"955",2
"956",2
"957",2
"958",2
"959",2
"960",2
"961",2
"962",2
"963",2
"964",2
"965",2
"966",2
"967",2
"968",2
"969",2
"970",2
"971",2
"972",2
"973",2
"974",2
"975",2
"976",2
"977",2
"978",2
"979",2
"980",13.8779413333326
"981",1
"982",NA
"983",21
"984",8.57922666666252
"985",25
"986",24.7299999999997
"987",9
"988",4.00666666666657
"989",25
"990",24
"991",4.31666666666888
"992",12
"993",11
"994",25
"995",29
"996",6.96999999999765
"997",2
"998",9
"999",16
"1000",8.60000000000398
"1001",8.60000000000398
"1002",8.60000000000398
"1003",8.60000000000398
"1004",8.60000000000398
"1005",8.60000000000398
"1006",42
"1007",15
"1008",25
"1009",25
"1010",20.2666666666656
"1011",15
"1012",20.5999999999768
"1013",21.1999999999947
"1014",6
"1015",4.19999999995907
"1016",15
"1017",25
"1018",6
"1019",5
"1020",6.50000000000166
"1021",5
"1022",17
"1023",15
"1024",2.514623999999
"1025",25
"1026",18.4323200000041
"1027",3
"1028",5
"1029",5
"1030",5
"1031",5
"1032",5.16666093334524
"1033",19
"1034",11
"1035",2.40559999999529
"1036",3
"1037",25.541184000021
"1038",24
"1039",2
"1040",5.54000000001501
"1041",3
"1042",23.8652266666663
"1043",12.6639999999908
"1044",5
"1045",11
"1046",8.61111266667782
"1047",2.63889246666908
"1048",2.63889246666908
"1049",7
"1050",17
"1051",NA
"1052",12.6570453333621
"1053",23.2643199999701
"1054",5
"1055",5.63333333333543
"1056",11
"1057",24
"1058",24.5166666666651
"1059",5.63333333333543
"1060",9
"1061",15
"1062",27
"1063",15
"1064",7
"1065",21.700000000001
"1066",21
"1067",15
"1068",15
"1069",NA
"1070",NA
"1071",NA
"1072",NA
"1073",NA
"1074",NA
"1075",NA
"1076",NA
"1077",NA
"1078",NA
"1079",NA
"1080",NA
"1081",NA
"1082",NA
"1083",NA
"1084",NA
"1085",NA
"1086",NA
"1087",NA
"1088",NA
"1089",NA
"1090",NA
"1091",NA
"1092",NA
"1093",NA
"1094",NA
"1095",NA
"1096",NA
"1097",NA
"1098",NA
"1099",NA
"1100",NA
"1101",NA
"1102",NA
"1103",NA
"1104",NA
"1105",NA
"1106",NA
"1107",NA
"1108",NA
"1109",NA
"1110",NA
"1111",NA
"1112",NA
"1113",NA
"1114",NA
"1115",NA
"1116",NA
"1117",NA
"1118",NA
"1119",NA
"1120",NA
"1121",NA
"1122",NA
"1123",NA
"1124",NA
"1125",NA
"1126",NA
"1127",NA
"1128",NA
"1129",NA
"1130",NA
"1131",NA
"1132",NA
"1133",NA
"1134",NA
"1135",NA
"1136",NA
"1137",NA
"1138",NA
"1139",NA
"1140",NA
"1141",NA
"1142",NA
"1143",NA
"1144",NA
"1145",NA
"1146",NA
"1147",NA
"1148",NA
"1149",NA
"1150",NA
"1151",NA
"1152",NA
"1153",NA
"1154",NA
"1155",NA
"1156",NA
"1157",NA
"1158",NA
"1159",NA
"1160",NA
"1161",NA
"1162",NA
"1163",NA
"1164",NA
"1165",NA
"1166",NA
"1167",NA
"1168",NA
"1169",NA
"1170",NA
"1171",NA
"1172",NA
"1173",NA
"1174",NA
"1175",NA
"1176",NA
"1177",NA
"1178",NA
"1179",NA
"1180",NA
"1181",NA
"1182",NA
"1183",NA
"1184",NA
"1185",NA
"1186",NA
"1187",NA
"1188",NA
"1189",NA
"1190",NA
"1191",NA
"1192",NA
"1193",NA
"1194",NA
"1195",NA
"1196",NA
"1197",NA
"1198",NA
"1199",NA
"1200",NA
"1201",NA
"1202",NA
"1203",NA
"1204",NA
"1205",NA
"1206",NA
"1207",NA
"1208",NA
"1209",NA
"1210",NA
"1211",NA
"1212",NA
"1213",NA
"1214",NA
"1215",NA
"1216",NA
"1217",NA
"1218",NA
"1219",NA
"1220",NA
"1221",NA
"1222",NA
"1223",NA
"1224",NA
"1225",NA
"1226",NA
"1227",NA
"1228",NA
"1229",NA
"1230",NA
"1231",NA
"1232",NA
"1233",NA
"1234",NA
"1235",NA
"1236",NA
"1237",NA
"1238",NA
"1239",NA
"1240",NA
"1241",NA
"1242",NA
"1243",NA
"1244",NA
"1245",NA
"1246",NA
"1247",NA
"1248",NA
"1249",NA
"1250",NA
"1251",NA
"1252",NA
"1253",NA
"1254",NA
"1255",NA
"1256",NA
"1257",NA
"1258",NA
"1259",NA
"1260",NA
"1261",NA
"1262",NA
"1263",NA
"1264",NA
"1265",NA
"1266",NA
"1267",NA
"1268",NA
"1269",NA
"1270",NA
"1271",NA
"1272",NA
"1273",NA
"1274",NA
"1275",NA
"1276",NA
"1277",NA
"1278",NA
"1279",NA
"1280",NA
"1281",NA
"1282",NA
"1283",NA
"1284",NA
"1285",NA
"1286",NA
"1287",NA
"1288",NA
"1289",NA
"1290",NA
"1291",NA
"1292",NA
"1293",NA
"1294",NA
"1295",NA
"1296",NA
