"","ppfd"
"607",40.5423326902077
"608",NA
"609",35.9209513685758
"610",31.4400563032339
"611",35.5350049871367
"612",NA
"613",NA
"614",NA
"615",36.8141464895997
"616",NA
"617",44.1150203252004
"618",34.9797606986243
"619",37.5302377507201
"620",NA
"621",31.3883829288837
"622",NA
"623",NA
"624",NA
"625",NA
"626",NA
"627",36.03837684
"628",36.8982813800001
"629",36.9815541799999
"630",35.37786496
"631",34.3550429600003
"632",40.3800401600003
"633",41.2861938800005
"634",NA
"635",44.4764353000001
"636",41.4207172600016
"637",43.91611768
"638",43.05597514
"639",43.3073368000003
"640",35.8793635999998
"641",34.36437222
"642",NA
"643",36.2288791800002
"644",32.1620960000002
"645",35.2941970800001
"646",40.2535965400001
"647",39.8572922
"648",36.878669499999
"649",38.1747253599998
"650",35.4736120199999
"651",35.4736120199999
"652",35.4736120199999
"653",35.4736120199999
"654",35.4736120199999
"655",35.4736120199999
"656",35.4736120199999
"657",35.4736120199999
"658",35.4736120199999
"659",35.4736120199999
"660",35.4736120199999
"661",35.4736120199999
"662",35.4736120199999
"663",35.4736120199999
"664",35.4736120199999
"665",35.4736120199999
"666",35.4736120199999
"667",35.4736120199999
"668",35.4736120199999
"669",35.4736120199999
"670",35.4736120199999
"671",35.4736120199999
"672",35.4736120199999
"673",35.4736120199999
"674",35.4736120199999
"675",35.4736120199999
"676",35.4736120199999
"677",35.4736120199999
"678",35.4736120199999
"679",35.4736120199999
"680",35.4736120199999
"681",35.4736120199999
"682",35.4736120199999
"683",35.4736120199999
"684",36.75412648
"685",34.3448348
"686",29.8773769199999
"687",35.5463018189761
"688",37.5620777187522
"689",35.2030317759525
"690",NA
"691",36.9166480929618
"692",41.9898540611204
"693",35.3102047810243
"694",41.9222046302342
"695",41.9222046302342
"696",41.9222046302342
"697",42.5215606301106
"698",NA
"699",NA
"700",36.5470245314851
"701",41.1102072967848
"702",NA
"703",NA
"704",38.4556817107205
"705",39.3432737933124
"706",NA
"707",NA
"708",NA
"709",34.8803196550405
"710",24.8409283470431
"711",NA
"712",45.6036033914934
"713",40.9261336787205
"714",NA
"715",NA
"716",39.8600493450789
"717",NA
"718",38.4232513481924
"719",38.360428807808
"720",33.3782783405601
"721",37.1770970199995
"722",31.4247641800001
"723",31.4247641800001
"724",NA
"725",NA
"726",NA
"727",39.8761655999978
"728",39.8761655999978
"729",30.0226364799985
"730",38.2610771999995
"731",42.2091340799999
"732",32.29318198
"733",NA
"734",NA
"735",NA
"736",NA
"737",34.5638689199996
"738",NA
"739",NA
"740",NA
"741",NA
"742",NA
"743",35.1545499
"744",34.8192833800005
"745",NA
"746",37.8298644327679
"747",NA
"748",NA
"749",35.3122741891198
"750",41.0386527602875
"751",NA
"752",33.8064714605933
"753",35.664854598208
"754",48.3637979894878
"755",NA
"756",NA
"757",NA
"758",NA
"759",NA
"760",32.9943205018892
"761",35.8104072469115
"762",NA
"763",NA
"764",NA
"765",NA
"766",NA
"767",NA
"768",NA
"769",NA
"770",NA
"771",NA
"772",NA
"773",NA
"774",39.4262719331506
"775",38.1036037340469
"776",33.4973230233599
"777",37.3403111422391
"778",NA
"779",32.3991305011839
"780",NA
"781",34.0176882127681
"782",43.8812624956802
"783",35.2757833202879
"784",NA
"785",30.8282074131032
"786",34.825326147232
"787",NA
"788",32.5044537300005
"789",45.36809516
"790",36.5272066823359
"791",37.287979419904
"792",42.943765722
"793",39.5413829000021
"794",41.7912937999991
"795",NA
"796",NA
"797",NA
"798",NA
"799",NA
"800",33.5980261600001
"801",NA
"802",NA
"803",NA
"804",NA
"805",NA
"806",NA
"807",NA
"808",NA
"809",NA
"810",NA
"811",NA
"812",NA
"813",NA
"814",NA
"815",NA
"816",NA
"817",NA
"818",NA
"819",NA
"820",NA
"821",34.9022783999999
"822",39.3442866000016
"823",34.1538329999992
"824",42.7891274999996
"825",42.7891274999996
"826",34.4083485000002
"827",36.8968748000013
"828",35.447448
"829",32.6339734999995
"830",35.4524204999999
"831",38.3923410000001
"832",38.3923410000001
"833",38.3923410000001
"834",39.0378973000022
"835",NA
"836",40.9350837
"837",36.112607
"838",36.2995985000003
"839",37.5719635000002
"840",37.5719635000002
"841",37.5719635000002
"842",37.5719635000002
"843",37.5719635000002
"844",37.5719635000002
"845",37.5719635000002
"846",37.5719635000002
"847",37.5719635000002
"848",37.5719635000002
"849",37.5719635000002
"850",37.5719635000002
"851",37.5719635000002
"852",37.5719635000002
"853",NA
"854",39.9215742999993
"855",33.3272182000005
"856",37.1172729999999
"857",41.6334524960041
"858",42.1940928080996
"859",NA
"860",NA
"861",NA
"862",NA
"863",NA
"864",NA
"865",NA
"866",42.3778295000008
"867",NA
"868",NA
"869",34.7069790000001
"870",36.1726374000012
"871",34.7208169999998
"872",34.7208169999998
"873",36.6145196919999
"874",36.6229554999999
"875",36.0806724999995
"876",38.8230020000008
"877",35.2198621999993
"878",35.2198621999993
"879",35.2198621999993
"880",35.2198621999993
"881",35.2198621999993
"882",35.2198621999993
"883",35.2198621999993
"884",35.2198621999993
"885",35.2198621999993
"886",35.2198621999993
"887",35.2198621999993
"888",35.2198621999993
"889",35.2198621999993
"890",35.2198621999993
"891",29.2681077999999
"892",NA
"893",36.5320789862399
"894",NA
"895",NA
"896",38.4439058041918
"897",38.7836740348942
"898",36.1016046522247
"899",NA
"900",NA
"901",35.1363021446094
"902",39.5762139301764
"903",39.6920768722414
"904",36.9033143374397
"905",35.3470643714238
"906",40.0686951564044
"907",NA
"908",35.2436270521594
"909",29.7506455509071
"910",29.7506455509071
"911",29.7506455509071
"912",29.7506455509071
"913",29.7506455509071
"914",29.7506455509071
"915",29.7506455509071
"916",29.7506455509071
"917",29.7506455509071
"918",29.7506455509071
"919",29.7506455509071
"920",NA
"921",NA
"922",35.36644320128
"923",NA
"924",38.6885451920003
"925",37.6168737600002
"926",37.6168737600002
"927",NA
"928",38.0112227763206
"929",36.1658861124801
"930",42.8115674091518
"931",32.0866228848646
"932",NA
"933",NA
"934",NA
"935",NA
"936",NA
"937",NA
"938",NA
"939",36.0125782071195
"940",37.4471190556503
"941",37.3204747126399
"942",NA
"943",NA
"944",29.4850883281597
"945",35.4340964366404
"946",NA
"947",30.4875655360002
"948",30.4875655360002
"949",30.4875655360002
"950",30.4875655360002
"951",30.4875655360002
"952",30.4875655360002
"953",30.4875655360002
"954",30.4875655360002
"955",30.4875655360002
"956",30.4875655360002
"957",30.4875655360002
"958",30.4875655360002
"959",30.4875655360002
"960",30.4875655360002
"961",30.4875655360002
"962",30.4875655360002
