"","tc"
"413",NA
"414",NA
"415",NA
"416",NA
"417",NA
"418",NA
"419",NA
"420",NA
"421",NA
"422",NA
"423",NA
"424",NA
"425",NA
"426",NA
"427",NA
"428",NA
"429",NA
"430",NA
"431",NA
"432",NA
"433",NA
"434",NA
"435",NA
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",NA
"442",NA
"443",NA
"444",NA
"445",25.4320427754753
"446",NA
"447",NA
"448",NA
"449",NA
"450",NA
"451",NA
"452",NA
"453",NA
"454",NA
"455",NA
"456",NA
"457",NA
"458",NA
"459",NA
"460",NA
"461",NA
"462",25.1486048433767
"463",22.2742386233522
"464",24.2956029935482
"465",NA
"466",22.7353006733944
"467",20.4576601730781
"468",28.0339530810998
"469",NA
"470",19.5659937976692
"471",NA
"472",23.1036380834149
"473",NA
"474",24.2173418528897
"475",NA
"476",24.9928186707445
"477",NA
"478",21.2592334697822
"479",NA
"480",NA
"481",NA
"482",NA
"483",NA
"484",24.0487167147303
"485",27.5176224457561
"486",27.5176224457561
"487",27.5176224457561
"488",27.5176224457561
"489",27.5176224457561
"490",NA
"491",NA
"492",NA
"493",NA
"494",NA
"495",24.0696797916575
"496",24.371962014008
"497",23.8983210394803
"498",24.3788026219032
"499",NA
"500",20.966795289485
"501",19.2877155326055
"502",19.2877155326055
"503",NA
"504",NA
"505",25.8305701406253
"506",25.3951622356935
"507",25.3987194969443
"508",21.6001809376727
"509",24.3873839018872
"510",24.3873839018872
"511",22.7999803659249
"512",24.3873839018872
"513",24.3873839018872
"514",24.3873839018872
"515",24.3873839018872
"516",24.3873839018872
"517",24.3873839018872
"518",24.3873839018872
"519",24.3873839018872
"520",24.3873839018872
"521",24.3873839018872
"522",24.3873839018872
"523",24.3873839018872
"524",24.6580582162373
"525",23.0262561684663
"526",23.0262561684663
"527",23.0262561684663
"528",23.0262561684663
"529",20.2931138177457
"530",28.0661098577551
"531",28.0661098577551
"532",NA
"533",NA
"534",NA
"535",NA
"536",NA
"537",NA
"538",NA
"539",NA
"540",NA
"541",NA
"542",NA
"543",NA
"544",NA
"545",NA
"546",25.2825601453408
"547",25.2825601453408
"548",23.5359151231056
"549",24.3914371918427
"550",24.3914371918427
"551",21.2592300396885
"552",NA
"553",22.512245282027
"554",23.9458371061063
"555",22.6489400413946
"556",26.0467291985038
"557",26.0467291985038
"558",26.0467291985038
"559",26.0146504739873
"560",NA
"561",NA
"562",25.0714192626888
"563",25.0696263214719
"564",24.1123251198785
"565",23.8234037848924
"566",21.3744506929924
"567",25.0195893650189
"568",NA
"569",NA
"570",25.0936070428692
"571",NA
"572",25.140320109097
"573",22.963221556568
"574",24.3296127872588
"575",24.155456554709
"576",24.9228629154894
"577",20.5765509307433
"578",23.4827180549898
"579",25.0003130924158
"580",23.5587921697008
"581",25.97258289556
"582",28.0942964544781
"583",NA
"584",NA
"585",17.9072210077308
"586",17.9072210077308
"587",23.4657199072064
"588",23.4657199072064
"589",NA
"590",NA
"591",23.852663418216
"592",23.852663418216
"593",23.852663418216
"594",24.2001941681745
"595",24.2001941681745
"596",24.2001941681745
"597",24.3263291138727
"598",24.3263291138727
"599",24.3263291138727
"600",24.3263291138727
"601",24.3263291138727
"602",24.3263291138727
"603",27.7102790805218
"604",24.1867031726031
"605",22.6675305790307
"606",24.6256104626364
"607",24.9533530775761
"608",NA
"609",26.034485576002
"610",28.5300269047435
"611",25.4232430194427
"612",NA
"613",NA
"614",NA
"615",23.5014095229071
"616",NA
"617",21.5498299943817
"618",21.6494482942018
"619",19.6249893902529
"620",NA
"621",28.0078689752969
"622",NA
"623",NA
"624",NA
"625",NA
"626",NA
"627",26.1108846478274
"628",24.0139061865826
"629",24.739617828722
"630",22.8440251658925
"631",25.76710303941
"632",22.2923767180568
"633",23.8646460380281
"634",NA
"635",24.6654447406299
"636",24.483340458602
"637",24.869931831951
"638",22.7288998869532
"639",24.5722513183978
"640",25.3191385801295
"641",24.5374896539707
"642",NA
"643",24.8751754021087
"644",22.380260254289
"645",22.6529469763171
"646",20.8843645801773
"647",20.9027325501463
"648",20.6824733136514
"649",21.1185501449814
"650",23.4062237243258
"651",23.4062237243258
"652",23.4062237243258
"653",23.4062237243258
"654",23.4062237243258
"655",23.4062237243258
"656",23.4062237243258
"657",23.4062237243258
"658",23.4062237243258
"659",23.4062237243258
"660",23.4062237243258
"661",23.4062237243258
"662",23.4062237243258
"663",23.4062237243258
"664",23.4062237243258
"665",23.4062237243258
"666",23.4062237243258
"667",23.4062237243258
"668",23.4062237243258
"669",23.4062237243258
"670",23.4062237243258
"671",23.4062237243258
"672",23.4062237243258
"673",23.4062237243258
"674",23.4062237243258
"675",23.4062237243258
"676",23.4062237243258
"677",23.4062237243258
"678",23.4062237243258
"679",23.4062237243258
"680",23.4062237243258
"681",23.4062237243258
"682",23.4062237243258
"683",23.4062237243258
"684",23.724561263397
"685",22.5909992770531
"686",16.9239256794085
"687",24.6672332175623
"688",NA
"689",24.4609970452247
"690",NA
"691",24.9519484299926
"692",23.8105819852223
"693",25.113780004499
"694",24.4949511862375
"695",24.4949511862375
"696",24.4949511862375
"697",28.1110830347784
"698",NA
"699",NA
"700",24.9087785876321
"701",27.5590949741937
"702",NA
"703",NA
"704",21.3507089972471
"705",18.2196586023361
"706",NA
"707",NA
"708",NA
"709",24.0132673203831
"710",28.0443065539752
"711",NA
"712",20.1205101054359
"713",24.1246868533635
"714",NA
"715",NA
"716",25.3943107931205
"717",NA
"718",21.0620632495934
"719",NA
"720",18.0517119811521
"721",26.0342148255886
"722",23.3517365645801
"723",23.3517365645801
"724",NA
"725",NA
"726",NA
"727",23.2857055425651
"728",23.2857055425651
"729",19.3098354139426
"730",21.6546268263475
"731",23.2942973282161
"732",22.1119242581624
"733",NA
"734",NA
"735",NA
"736",NA
"737",19.7599924442171
"738",NA
"739",NA
"740",NA
"741",NA
"742",NA
"743",23.2465984583854
"744",22.0720380707685
"745",NA
"746",25.2420644608391
"747",NA
"748",NA
"749",24.8552331400655
"750",24.7340382393875
"751",NA
"752",27.6944975368404
"753",25.9974632478373
"754",25.0225154594771
"755",NA
"756",NA
"757",NA
"758",NA
"759",NA
"760",21.4413016303292
"761",24.8143961994934
"762",NA
"763",NA
"764",NA
"765",NA
"766",NA
"767",NA
"768",NA
"769",NA
"770",NA
"771",NA
"772",NA
"773",NA
"774",23.0590552342307
"775",18.7763215080083
"776",24.4827838107202
"777",18.1041701680267
"778",NA
"779",19.3951689623066
"780",NA
"781",22.3052261803227
"782",26.084792330835
"783",24.9634398852842
"784",NA
"785",27.8361963906394
"786",25.2637662664532
"787",NA
"788",24.8423412095246
"789",23.7001160493852
"790",24.6690948608634
"791",24.377907802594
"792",23.9687918670474
"793",22.5261715824253
"794",25.4255352509488
"795",NA
"796",NA
"797",NA
"798",NA
"799",NA
"800",24.5718186288884
"801",NA
"802",NA
"803",NA
"804",NA
"805",NA
"806",NA
"807",NA
"808",NA
"809",NA
"810",NA
"811",NA
"812",NA
"813",NA
"814",NA
"815",NA
"816",NA
"817",NA
"818",NA
"819",NA
"820",NA
"821",25.8261541386628
"822",26.0567312805349
"823",24.9261893452877
"824",23.7677552887801
"825",23.7677552887801
"826",25.0740084960411
"827",24.9519478708729
"828",24.6331255011608
"829",22.9827994722873
"830",20.1131109231385
"831",21.194569060836
"832",21.194569060836
"833",21.194569060836
"834",21.9021773447593
"835",NA
"836",22.5909009980942
"837",22.1998120569734
"838",21.9185307693818
"839",26.4920947834036
"840",26.4920947834036
"841",26.4920947834036
"842",26.4920947834036
"843",26.4920947834036
"844",26.4920947834036
"845",26.4920947834036
"846",26.4920947834036
"847",26.4920947834036
"848",26.4920947834036
"849",26.4920947834036
"850",26.4920947834036
"851",26.4920947834036
"852",26.4920947834036
"853",NA
"854",22.7974140346287
"855",22.2971581225133
"856",22.6839363830083
"857",27.9748708797822
"858",27.8258652492958
"859",NA
"860",NA
"861",NA
"862",NA
"863",NA
"864",NA
"865",NA
"866",22.920099482752
"867",NA
"868",NA
"869",24.2374356929791
"870",25.0909969841965
"871",25.2872598957672
"872",25.2872598957672
"873",24.8594682655219
"874",24.8594682655219
"875",23.8410894692857
"876",22.7352977684216
"877",22.1050513976471
"878",22.1050513976471
"879",22.1050513976471
"880",22.1050513976471
"881",22.1050513976471
"882",22.1050513976471
"883",22.1050513976471
"884",22.1050513976471
"885",22.1050513976471
"886",22.1050513976471
"887",22.1050513976471
"888",22.1050513976471
"889",22.1050513976471
"890",22.1050513976471
"891",19.079341049017
"892",NA
"893",24.1628138679232
"894",NA
"895",NA
"896",20.2382093717978
"897",23.8226069163173
"898",24.7169044435756
"899",NA
"900",NA
"901",24.4502823379666
"902",23.0405410541561
"903",26.5203862033677
"904",25.2230362478045
"905",25.2235747047022
"906",25.9317817270012
"907",NA
"908",26.1772613883692
"909",27.7303115141647
"910",27.7303115141647
"911",27.7303115141647
"912",27.7303115141647
"913",27.7303115141647
"914",27.7303115141647
"915",27.7303115141647
"916",27.7303115141647
"917",27.7303115141647
"918",27.7303115141647
"919",27.7303115141647
"920",NA
"921",NA
"922",23.0280648698444
"923",NA
"924",25.8357870931419
"925",22.9793075668106
"926",22.9793075668106
"927",NA
"928",24.984948568491
"929",19.2586144790904
"930",25.1711485402969
"931",23.0790003697403
"932",NA
"933",NA
"934",NA
"935",NA
"936",NA
"937",NA
"938",NA
"939",24.5875914502281
"940",28.0038878986234
"941",21.593597561917
"942",NA
"943",NA
"944",24.1769163251999
"945",23.2241898497924
"946",NA
"947",27.7241043282241
"948",27.7241043282241
"949",27.7241043282241
"950",27.7241043282241
"951",27.7241043282241
"952",27.7241043282241
"953",27.7241043282241
"954",27.7241043282241
"955",27.7241043282241
"956",27.7241043282241
"957",27.7241043282241
"958",27.7241043282241
"959",27.7241043282241
"960",27.7241043282241
"961",27.7241043282241
"962",27.7241043282241
"963",27.7241043282241
"964",27.7241043282241
"965",27.7241043282241
"966",27.7241043282241
"967",27.7241043282241
"968",27.7241043282241
"969",27.7241043282241
"970",27.7241043282241
"971",27.7241043282241
"972",27.7241043282241
"973",27.7241043282241
"974",27.7241043282241
"975",27.7241043282241
"976",27.7241043282241
"977",27.7241043282241
"978",27.7241043282241
"979",27.7241043282241
"980",21.1190837503804
"981",NA
"982",24.4204328362063
"983",NA
"984",24.4724029690028
"985",22.2903914674231
"986",NA
"987",21.9148373668977
"988",NA
"989",NA
"990",23.7794559641554
"991",22.4432957602216
"992",23.1745013241848
"993",20.6872658305057
"994",24.4827817924164
"995",23.8576241183621
"996",21.5758938061481
"997",NA
"998",22.995456826834
"999",24.1569429748478
"1000",23.5491707934573
"1001",23.5491707934573
"1002",23.5491707934573
"1003",23.5491707934573
"1004",23.5491707934573
"1005",23.5491707934573
"1006",23.3400795323257
"1007",20.9300232004357
"1008",NA
"1009",NA
"1010",26.0295573076357
"1011",24.1270348912974
"1012",18.5333673226527
"1013",24.8321990006864
"1014",19.4839168800604
"1015",24.8115659586852
"1016",20.501685974967
"1017",NA
"1018",NA
"1019",NA
"1020",NA
"1021",24.658395440153
"1022",23.7443093873511
"1023",20.559652582044
"1024",22.3529535805432
"1025",24.3348993487046
"1026",24.0378667078741
"1027",27.6808592292209
"1028",NA
"1029",NA
"1030",NA
"1031",NA
"1032",NA
"1033",NA
