"","BDsite"
"707",1.32
"708",1.51
"709",1.34
"710",1.28578879999985
"711",1.29663999999999
"712",1.54
"713",1.22
"714",1.31
"715",1.32504000000002
"716",NA
"717",NA
"718",1.19
"719",1.28
"720",1.19
"721",1.34
"722",1.32340000000001
"723",1.32340000000001
"724",1.39
"725",1.28
"726",1.28
"727",1.19
"728",1.19
"729",1.19
"730",1.19
"731",1.19
"732",1.12
"733",1.32926666666667
"734",1.40816666666667
"735",1.40816666666667
"736",1.40816666666667
"737",1.19
"738",1.28
"739",1.28
"740",1.28
"741",1.27399999999993
"742",1.27399999999993
"743",1.19766666666662
"744",1.19936666666668
"745",1.37432368000013
"746",1.29
"747",1.3158833066668
"748",1.23246666666664
"749",1.33
"750",1.36
"751",1.32
"752",1.3
"753",1.31
"754",1.23
"755",1.33042666666667
"756",1.23
"757",1.23
"758",1.23
"759",1.23
"760",1.19
"761",1.3
"762",1.23
"763",1.23
"764",1.23
"765",1.23
"766",1.23
"767",1.23
"768",1.23
"769",1.31
"770",1.31
"771",1.31
"772",1.31
"773",1.29
"774",1.31935999999999
"775",1.32
"776",1.3
"777",1.1
"778",1.15
"779",1.19
"780",1.31643434666664
"781",1.19
"782",1.22
"783",1.22
"784",NA
"785",1.12
"786",1.32768000000002
"787",1.33
"788",1.31599999999997
"789",1.27130000000006
"790",1.3
"791",1.19
"792",1.22
"793",1.19999999999861
"794",1.3941666666664
"795",1.25
"796",1.25
"797",1.265
"798",1.265
"799",1.265
"800",1.28459999999995
"801",1.27
"802",NA
"803",NA
"804",NA
"805",NA
"806",NA
"807",NA
"808",NA
"809",NA
"810",NA
"811",NA
"812",NA
"813",NA
"814",NA
"815",NA
"816",NA
"817",NA
"818",NA
"819",NA
"820",1.29833333333339
"821",1.32666666666668
"822",1.22900000000001
"823",1.33
"824",1.34
"825",1.34
"826",1.29000000000005
"827",1.33
"828",1.21750000000009
"829",1.19
"830",1.11833333333329
"831",1.35333333333332
"832",1.35333333333332
"833",1.35333333333332
"834",1.16749999999978
"835",1.30666666666645
"836",1.1
"837",1.33
"838",1.30249999999987
"839",NA
"840",NA
"841",NA
"842",NA
"843",NA
"844",NA
"845",NA
"846",NA
"847",NA
"848",NA
"849",NA
"850",NA
"851",NA
"852",NA
"853",1.31
"854",1.34
"855",1.20500000000026
"856",1.19
"857",1.22
"858",1.22
"859",1.3191666666667
"860",1.26749999999975
"861",1.34
"862",1.33
"863",1.33
"864",1.31
"865",1.33
"866",1.20999999999939
"867",1.32
"868",1.34
"869",1.26
"870",1.3
"871",1.32250000000001
"872",1.32250000000001
"873",1.19388666666662
"874",1.19916666666662
"875",1.19
"876",1.39
"877",1.2740000000002
"878",1.2740000000002
"879",1.2740000000002
"880",1.2740000000002
"881",1.2740000000002
"882",1.2740000000002
"883",1.2740000000002
"884",1.2740000000002
"885",1.2740000000002
"886",1.2740000000002
"887",1.2740000000002
"888",1.2740000000002
"889",1.2740000000002
"890",1.2740000000002
"891",1.41616666666666
"892",1.33
"893",1.19
"894",1.31
"895",1.36
"896",1.22
"897",1.22
"898",1.3
"899",NA
"900",1.34
"901",1.3
"902",1.22
"903",1.22
"904",1.25396906666661
"905",1.22
"906",1.22
"907",1.32002005333316
"908",1.3
"909",1.28
"910",1.28
"911",1.28
"912",1.28
"913",1.28
"914",1.28
"915",1.28
"916",1.28
"917",1.28
"918",1.28
"919",1.28
"920",1.26
"921",NA
"922",1.19
"923",1.22
"924",1.28712000000001
"925",1.19
"926",1.19
"927",1.12112112
"928",1.33540000000001
"929",1.19
"930",1.33
"931",1.26
"932",NA
"933",NA
"934",NA
"935",NA
"936",NA
"937",NA
"938",NA
"939",1.3
"940",NA
"941",1.22
"942",1.36
"943",NA
"944",1.30874666666664
"945",1.2646220799999
"946",1.28
"947",1.3
"948",1.3
"949",1.3
"950",1.3
"951",1.3
"952",1.3
"953",1.3
"954",1.3
"955",1.3
"956",1.3
"957",1.3
"958",1.3
"959",1.3
"960",1.3
"961",1.3
"962",1.3
"963",1.3
"964",1.3
"965",1.3
"966",1.3
"967",1.3
"968",1.3
"969",1.3
"970",1.3
"971",1.3
"972",1.3
"973",1.3
"974",1.3
"975",1.3
"976",1.3
"977",1.3
"978",1.3
"979",1.3
"980",1.20530080000001
"981",1.51
"982",NA
"983",1.33
"984",1.27755600000006
"985",1.3
"986",1.2164
"987",1.12
"988",1.33996666666667
"989",1.34
"990",1.3
"991",1.31466666666649
"992",1.22
"993",1.22
"994",1.3
"995",1.33
"996",1.35790000000005
"997",1.32
"998",1.18
"999",1.36
"1000",1.23599999999997
"1001",1.23599999999997
"1002",1.23599999999997
"1003",1.23599999999997
"1004",1.23599999999997
"1005",1.23599999999997
"1006",1.32
"1007",1.19
"1008",1.26
"1009",1.26
"1010",1.27499999999992
"1011",1.19
"1012",1.1
"1013",1.303
"1014",1.32
"1015",1.19900000000003
"1016",1.19
"1017",1.22
"1018",1.33
"1019",1.26
"1020",1.33
"1021",1.26
"1022",1.19
"1023",1.19
"1024",1.1514623999999
"1025",1.28
"1026",1.22146293333337
"1027",1.35
"1028",1.31
"1029",1.31
"1030",1.31
"1031",1.31
"1032",1.28083347666637
"1033",1.27
"1034",1.22
"1035",1.10280799999997
"1036",1.34
"1037",1.25405888000016
"1038",1.3
"1039",1.3
"1040",1.3189999999998
"1041",1.35
"1042",1.29971626666667
"1043",1.14016000000055
"1044",1.22
"1045",1.35027776999998
"1046",1.23444445066671
"1047",1.31833332399999
"1048",1.31833332399999
"1049",1.31
"1050",1.28
"1051",NA
"1052",1.31808149333337
"1053",1.3239251199999
"1054",1.31
"1055",1.26133333333334
"1056",1.22
"1057",1.3
"1058",1.3
"1059",1.26133333333334
"1060",1.18
"1061",1.19
"1062",1.15
"1063",1.19
"1064",1.31
"1065",1.26370000000001
"1066",1.22
"1067",1.19
"1068",1.19
"1069",NA
"1070",NA
"1071",NA
"1072",NA
"1073",NA
"1074",NA
"1075",NA
"1076",NA
"1077",NA
"1078",NA
"1079",NA
"1080",NA
"1081",NA
"1082",NA
"1083",NA
"1084",NA
"1085",NA
"1086",NA
"1087",NA
"1088",NA
"1089",NA
"1090",NA
"1091",NA
"1092",NA
"1093",NA
"1094",NA
"1095",NA
"1096",NA
"1097",NA
"1098",NA
"1099",NA
"1100",NA
"1101",NA
"1102",NA
"1103",NA
"1104",NA
"1105",NA
"1106",NA
"1107",NA
"1108",NA
"1109",NA
"1110",NA
"1111",NA
"1112",NA
"1113",NA
"1114",NA
"1115",NA
"1116",NA
"1117",NA
"1118",NA
"1119",NA
"1120",NA
"1121",NA
"1122",NA
"1123",NA
"1124",NA
"1125",NA
"1126",NA
"1127",NA
"1128",NA
"1129",NA
"1130",NA
"1131",NA
"1132",NA
"1133",NA
"1134",NA
"1135",NA
"1136",NA
"1137",NA
"1138",NA
"1139",NA
"1140",NA
"1141",NA
"1142",NA
"1143",NA
"1144",NA
"1145",NA
"1146",NA
"1147",NA
"1148",NA
"1149",NA
"1150",NA
"1151",NA
"1152",NA
"1153",NA
"1154",NA
"1155",NA
"1156",NA
"1157",NA
"1158",NA
"1159",NA
"1160",NA
"1161",NA
"1162",NA
"1163",NA
"1164",NA
"1165",NA
"1166",NA
"1167",NA
"1168",NA
"1169",NA
"1170",NA
"1171",NA
"1172",NA
"1173",NA
"1174",NA
"1175",NA
"1176",NA
"1177",NA
"1178",NA
"1179",NA
"1180",NA
"1181",NA
"1182",NA
"1183",NA
"1184",NA
"1185",NA
"1186",NA
"1187",NA
"1188",NA
"1189",NA
"1190",NA
"1191",NA
"1192",NA
"1193",NA
"1194",NA
"1195",NA
"1196",NA
"1197",NA
"1198",NA
"1199",NA
"1200",NA
"1201",NA
"1202",NA
"1203",NA
"1204",NA
"1205",NA
"1206",NA
"1207",NA
"1208",NA
"1209",NA
"1210",NA
"1211",NA
"1212",NA
"1213",NA
"1214",NA
"1215",NA
"1216",NA
"1217",NA
"1218",NA
"1219",NA
"1220",NA
"1221",NA
"1222",NA
"1223",NA
"1224",NA
"1225",NA
