"","leftJoinDf.elevation","leftJoinDf.elevation.1","leftJoinDf.elevation.2","leftJoinDf.elevation.3","leftJoinDf.elevation.4","leftJoinDf.elevation.5","leftJoinDf.elevation.6","leftJoinDf.elevation.7","leftJoinDf.elevation.8","leftJoinDf.elevation.9","leftJoinDf.elevation.10","leftJoinDf.elevation.11"
"332",2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299,2299
"333",259,259,259,259,259,259,259,259,259,259,259,259
"334",33,33,33,33,33,33,33,33,33,33,33,33
"335",931,931,931,931,931,931,931,931,931,931,931,931
"336",512,512,512,512,512,512,512,512,512,512,512,512
"337",682,682,682,682,682,682,682,682,682,682,682,682
"338",264,264,264,264,264,264,264,264,264,264,264,264
"339",16,16,16,16,16,16,16,16,16,16,16,16
"340",2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823,2823
"341",317,317,317,317,317,317,317,317,317,317,317,317
"342",814,814,814,814,814,814,814,814,814,814,814,814
"343",1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119
"344",738,738,738,738,738,738,738,738,738,738,738,738
"345",356,356,356,356,356,356,356,356,356,356,356,356
"346",658,658,658,658,658,658,658,658,658,658,658,658
"347",717,717,717,717,717,717,717,717,717,717,717,717
"348",213,213,213,213,213,213,213,213,213,213,213,213
"349",2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415
"350",326,326,326,326,326,326,326,326,326,326,326,326
"351",666,666,666,666,666,666,666,666,666,666,666,666
"352",1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901,1901
"353",763,763,763,763,763,763,763,763,763,763,763,763
"354",2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564
"355",919,919,919,919,919,919,919,919,919,919,919,919
"356",1484,1484,1484,1484,1484,1484,1484,1484,1484,1484,1484,1484
"357",51,51,51,51,51,51,51,51,51,51,51,51
"358",192,192,192,192,192,192,192,192,192,192,192,192
"359",390,390,390,390,390,390,390,390,390,390,390,390
"360",921,921,921,921,921,921,921,921,921,921,921,921
"361",251,251,251,251,251,251,251,251,251,251,251,251
"362",251,251,251,251,251,251,251,251,251,251,251,251
"363",251,251,251,251,251,251,251,251,251,251,251,251
"364",251,251,251,251,251,251,251,251,251,251,251,251
"365",877,877,877,877,877,877,877,877,877,877,877,877
"366",2066,2066,2066,2066,2066,2066,2066,2066,2066,2066,2066,2066
"367",624,624,624,624,624,624,624,624,624,624,624,624
"368",1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401,1401
"369",1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
"370",291,291,291,291,291,291,291,291,291,291,291,291
"371",873,873,873,873,873,873,873,873,873,873,873,873
"372",562,562,562,562,562,562,562,562,562,562,562,562
"373",1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459
"374",604,604,604,604,604,604,604,604,604,604,604,604
"375",721,721,721,721,721,721,721,721,721,721,721,721
"376",2671,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671
"377",2728,2728,2728,2728,2728,2728,2728,2728,2728,2728,2728,2728
"378",944,944,944,944,944,944,944,944,944,944,944,944
"379",692,692,692,692,692,692,692,692,692,692,692,692
"380",327,327,327,327,327,327,327,327,327,327,327,327
"381",310,310,310,310,310,310,310,310,310,310,310,310
"382",1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129,1129
"383",110,110,110,110,110,110,110,110,110,110,110,110
"384",167,167,167,167,167,167,167,167,167,167,167,167
"385",3237,3237,3237,3237,3237,3237,3237,3237,3237,3237,3237,3237
"386",1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347
"387",447,447,447,447,447,447,447,447,447,447,447,447
"388",924,924,924,924,924,924,924,924,924,924,924,924
"389",321,321,321,321,321,321,321,321,321,321,321,321
"390",321,321,321,321,321,321,321,321,321,321,321,321
"391",321,321,321,321,321,321,321,321,321,321,321,321
"392",485,485,485,485,485,485,485,485,485,485,485,485
"393",317,317,317,317,317,317,317,317,317,317,317,317
"394",621,621,621,621,621,621,621,621,621,621,621,621
"395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286
"397",978,978,978,978,978,978,978,978,978,978,978,978
"398",557,557,557,557,557,557,557,557,557,557,557,557
"399",267,267,267,267,267,267,267,267,267,267,267,267
"400",267,267,267,267,267,267,267,267,267,267,267,267
"401",267,267,267,267,267,267,267,267,267,267,267,267
"402",267,267,267,267,267,267,267,267,267,267,267,267
"403",267,267,267,267,267,267,267,267,267,267,267,267
"404",267,267,267,267,267,267,267,267,267,267,267,267
"405",267,267,267,267,267,267,267,267,267,267,267,267
"406",267,267,267,267,267,267,267,267,267,267,267,267
"407",267,267,267,267,267,267,267,267,267,267,267,267
"408",267,267,267,267,267,267,267,267,267,267,267,267
"409",267,267,267,267,267,267,267,267,267,267,267,267
"410",267,267,267,267,267,267,267,267,267,267,267,267
"411",267,267,267,267,267,267,267,267,267,267,267,267
"412",267,267,267,267,267,267,267,267,267,267,267,267
"413",267,267,267,267,267,267,267,267,267,267,267,267
"414",267,267,267,267,267,267,267,267,267,267,267,267
"415",267,267,267,267,267,267,267,267,267,267,267,267
"416",267,267,267,267,267,267,267,267,267,267,267,267
"417",267,267,267,267,267,267,267,267,267,267,267,267
"418",267,267,267,267,267,267,267,267,267,267,267,267
"419",267,267,267,267,267,267,267,267,267,267,267,267
"420",267,267,267,267,267,267,267,267,267,267,267,267
"421",267,267,267,267,267,267,267,267,267,267,267,267
"422",267,267,267,267,267,267,267,267,267,267,267,267
"423",267,267,267,267,267,267,267,267,267,267,267,267
"424",267,267,267,267,267,267,267,267,267,267,267,267
"425",267,267,267,267,267,267,267,267,267,267,267,267
"426",267,267,267,267,267,267,267,267,267,267,267,267
"427",267,267,267,267,267,267,267,267,267,267,267,267
"428",267,267,267,267,267,267,267,267,267,267,267,267
"429",267,267,267,267,267,267,267,267,267,267,267,267
"430",267,267,267,267,267,267,267,267,267,267,267,267
"431",267,267,267,267,267,267,267,267,267,267,267,267
"432",267,267,267,267,267,267,267,267,267,267,267,267
"433",267,267,267,267,267,267,267,267,267,267,267,267
"434",267,267,267,267,267,267,267,267,267,267,267,267
"435",267,267,267,267,267,267,267,267,267,267,267,267
"436",267,267,267,267,267,267,267,267,267,267,267,267
"437",267,267,267,267,267,267,267,267,267,267,267,267
"438",267,267,267,267,267,267,267,267,267,267,267,267
"439",267,267,267,267,267,267,267,267,267,267,267,267
"440",267,267,267,267,267,267,267,267,267,267,267,267
"441",267,267,267,267,267,267,267,267,267,267,267,267
"442",267,267,267,267,267,267,267,267,267,267,267,267
"443",267,267,267,267,267,267,267,267,267,267,267,267
"444",267,267,267,267,267,267,267,267,267,267,267,267
"445",2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391
"446",136,136,136,136,136,136,136,136,136,136,136,136
"447",136,136,136,136,136,136,136,136,136,136,136,136
"448",136,136,136,136,136,136,136,136,136,136,136,136
"449",136,136,136,136,136,136,136,136,136,136,136,136
"450",136,136,136,136,136,136,136,136,136,136,136,136
"451",136,136,136,136,136,136,136,136,136,136,136,136
"452",88,88,88,88,88,88,88,88,88,88,88,88
"453",88,88,88,88,88,88,88,88,88,88,88,88
"454",88,88,88,88,88,88,88,88,88,88,88,88
"455",88,88,88,88,88,88,88,88,88,88,88,88
"456",88,88,88,88,88,88,88,88,88,88,88,88
"457",88,88,88,88,88,88,88,88,88,88,88,88
"458",88,88,88,88,88,88,88,88,88,88,88,88
"459",88,88,88,88,88,88,88,88,88,88,88,88
"460",88,88,88,88,88,88,88,88,88,88,88,88
"461",88,88,88,88,88,88,88,88,88,88,88,88
"462",434,434,434,434,434,434,434,434,434,434,434,434
"463",1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135
"464",1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214
"465",12,12,12,12,12,12,12,12,12,12,12,12
"466",822,822,822,822,822,822,822,822,822,822,822,822
"467",1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114
"468",346,346,346,346,346,346,346,346,346,346,346,346
"469",420,420,420,420,420,420,420,420,420,420,420,420
"470",575,575,575,575,575,575,575,575,575,575,575,575
"471",25,25,25,25,25,25,25,25,25,25,25,25
"472",995,995,995,995,995,995,995,995,995,995,995,995
"473",420,420,420,420,420,420,420,420,420,420,420,420
