"","OCsite"
"507",1.17000000000131
"508",4.08
"509",0.52
"510",0.52
"511",4.08
"512",0.52
"513",0.52
"514",0.52
"515",0.52
"516",0.52
"517",0.52
"518",0.52
"519",0.52
"520",0.52
"521",0.52
"522",0.52
"523",0.52
"524",0.631666666667022
"525",2.68166666666171
"526",2.68166666666171
"527",2.68166666666171
"528",2.68166666666171
"529",3.39
"530",4.04
"531",4.04
"532",5.03
"533",5.03
"534",5.03
"535",5.03
"536",5.03
"537",1.58
"538",2.78249999999711
"539",1.33
"540",4.95
"541",0.61
"542",0.61
"543",0.88
"544",0.62
"545",0.87
"546",0.71
"547",0.71
"548",1.5825
"549",0.67
"550",0.67
"551",0.53
"552",0.54
"553",1.94
"554",0.53
"555",0.5
"556",4.97833355999981
"557",4.97833355999981
"558",5.00099999999987
"559",1.16
"560",4.95
"561",0.52
"562",0.74
"563",0.74
"564",0.47
"565",0.8
"566",0.52
"567",0.74
"568",1.76
"569",2.84917333333331
"570",3.89380080000351
"571",0.58
"572",1.34
"573",0.557469013333274
"574",0.769626666666601
"575",NA
"576",1.62
"577",0.47
"578",2.03
"579",3.96
"580",2.52
"581",2.12
"582",1.92
"583",1.03739999999974
"584",1.03739999999974
"585",0.48
"586",0.48
"587",0.5
"588",0.5
"589",0.731700000000023
"590",0.731700000000023
"591",2.71
"592",2.71
"593",2.71
"594",1.16
"595",1.16
"596",1.16
"597",0.46400000000004
"598",0.46400000000004
"599",0.46400000000004
"600",0.46400000000004
"601",0.46400000000004
"602",0.46400000000004
"603",1.29
"604",1.83
"605",0.46
"606",0.74
"607",0.567359999999952
"608",0.652534400000119
"609",1.00897333333352
"610",1.92
"611",1.26352000000001
"612",3.16973333333447
"613",1.73
"614",0.51
"615",0.62
"616",0.656494933332687
"617",0.75
"618",0.74
"619",0.43
"620",0.547021973333527
"621",1.92
"622",1.58
"623",1.58
"624",1.58
"625",1.58
"626",NA
"627",1.82
"628",0.62
"629",0.415
"630",0.553700000000044
"631",1.20053333333401
"632",3.91200000000032
"633",3.96
"634",0.798
"635",2.485833333333
"636",3.96
"637",0.8797
"638",0.46
"639",3.96
"640",1.87200000000268
"641",0.5
"642",0.51
"643",0.74
"644",0.64
"645",0.48
"646",0.46
"647",2.27
"648",0.533999999999809
"649",0.574000000000273
"650",0.74
"651",0.74
"652",0.74
"653",0.74
"654",0.74
"655",0.74
"656",0.74
"657",0.74
"658",0.74
"659",0.74
"660",0.74
"661",0.74
"662",0.74
"663",0.74
"664",0.74
"665",0.74
"666",0.74
"667",0.74
"668",0.74
"669",0.74
"670",0.74
"671",0.74
"672",0.74
"673",0.74
"674",0.74
"675",0.74
"676",0.74
"677",0.74
"678",0.74
"679",0.74
"680",0.74
"681",0.74
"682",0.74
"683",0.74
"684",0.577400000000004
"685",0.5375
"686",0.36
"687",0.74
"688",3.98288
"689",0.47
"690",0.735143039999839
"691",1.62
"692",0.75
"693",0.760258240000104
"694",10.18
"695",10.18
"696",10.18
"697",9.452559408239
"698",0.99
"699",1.13
"700",2.75888375022153
"701",4.95
"702",2.71
"703",1.42
"704",6.40032000001017
"705",3.42
"706",0.24
"707",0.72
"708",0.2
"709",4.01
"710",1.58526720000089
"711",0.75900000000005
"712",1.18
"713",2.52
"714",5.03
"715",0.566639999999988
"716",NA
"717",NA
"718",0.43
"719",3.95
"720",0.4
"721",1.82
"722",2.2498999999984
"723",2.2498999999984
"724",0.83
"725",1.64
"726",1.64
"727",10.23
"728",10.23
"729",0.48
"730",0.46
"731",0.484
"732",6.01
"733",0.922199999999997
"734",0.495766666666676
"735",0.495766666666676
"736",0.495766666666676
"737",0.390999999999983
"738",1.02
"739",1.02
"740",1.02
"741",0.75400000000266
"742",0.75400000000266
"743",0.521333333333325
"744",0.67353333333362
"745",1.39037919999626
"746",2.31
"747",1.68369088000015
"748",1.57560000000011
"749",1.62
"750",1.78
"751",0.69
"752",1.37
"753",1.16
"754",2.07
"755",0.817773333333382
"756",1.92
"757",1.92
"758",1.92
"759",1.92
"760",0.43
"761",0.74
"762",1
"763",1
"764",1
"765",1.92
"766",1.92
"767",1.92
"768",1.92
"769",0.831
"770",0.831
"771",0.831
"772",0.831
"773",1.57
"774",0.871920000000024
"775",1.16
"776",0.74
"777",1.84853333333336
"778",1.69
"779",0.493517760000108
"780",0.715714346666619
"781",0.53
"782",3.96
"783",3.42
"784",NA
"785",2.24
"786",2.66282666666626
"787",0.540457600000138
"788",2.33493333333249
"789",1.64940000000226
"790",0.74
"791",0.47
"792",2.52
"793",6.11750000002691
"794",0.185000000002098
"795",0.76
"796",0.76
"797",0.81
"798",0.81
"799",0.81
"800",0.702199999999872
"801",1.9
"802",NA
"803",NA
"804",NA
"805",NA
"806",NA
"807",NA
"808",NA
"809",NA
"810",NA
"811",NA
"812",NA
"813",NA
"814",NA
"815",NA
"816",NA
"817",NA
"818",NA
"819",NA
"820",0.767499999999728
"821",0.959999999999894
"822",0.893999999999959
"823",1.62
"824",2.79
"825",2.79
"826",2.62833333333448
"827",1.62
"828",0.53750000000023
"829",0.39
"830",2.63083333333371
"831",0.201666666666735
"832",0.201666666666735
"833",0.201666666666735
"834",0.912500000004475
"835",2.7733333333329
"836",2.27
"837",0.73
"838",0.629999999999829
"839",NA
"840",NA
"841",NA
"842",NA
"843",NA
"844",NA
"845",NA
"846",NA
"847",NA
"848",NA
"849",NA
"850",NA
"851",NA
"852",NA
"853",2.59
"854",0.41
"855",0.491000000000188
"856",0.4865
"857",0.75
"858",5.29
"859",1.15666666666668
"860",1.2708333333344
"861",0.88
"862",0.53
"863",0.53
"864",0.8275
"865",1.15
"866",5.36000000001562
"867",2.71
"868",0.88
"869",1.05
"870",0.74
"871",2.77333333333319
"872",2.77333333333319
"873",0.489186666666549
"874",0.501666666666548
"875",0.527500000000017
"876",0.78
"877",2.66400000000532
"878",2.66400000000532
"879",2.66400000000532
"880",2.66400000000532
"881",2.66400000000532
"882",2.66400000000532
"883",2.66400000000532
"884",2.66400000000532
"885",2.66400000000532
"886",2.66400000000532
"887",2.66400000000532
"888",2.66400000000532
"889",2.66400000000532
"890",2.66400000000532
"891",0.588166666666664
"892",0.78220000000004
"893",0.47
"894",4.95
"895",0.61
"896",3.96
"897",3.96
"898",0.74
"899",NA
"900",1
"901",0.74
"902",3.96
"903",10.63
"904",1.77308906666632
"905",1.34
"906",0.75
"907",0.641138453334298
"908",2.15
"909",1.64
"910",1.64
"911",1.64
"912",1.64
"913",1.64
"914",1.64
"915",1.64
"916",1.64
"917",1.64
"918",1.64
"919",1.64
"920",1.3
"921",NA
"922",0.6
"923",1.05
"924",2.16484000000138
"925",0.43
"926",0.43
"927",3.40399392000003
"928",2.91060000000326
"929",0.581680000000262
"930",0.950399999999928
"931",0.63
"932",NA
"933",NA
"934",NA
"935",NA
"936",NA
"937",NA
"938",NA
"939",0.74
"940",NA
"941",3.96
"942",0.75
"943",NA
"944",2.80283999999891
"945",1.63957455999773
"946",3.95
"947",1.37
"948",1.37
"949",1.37
"950",1.37
"951",1.37
"952",1.37
"953",1.37
"954",1.37
"955",1.37
"956",1.37
"957",1.37
