"","pressure"
"141",98627.7437164976
"142",100355.775739663
"143",100355.775739663
"144",100355.775739663
"145",100355.775739663
"146",100355.775739663
"147",100355.775739663
"148",100355.775739663
"149",100355.775739663
"150",100355.775739663
"151",100355.775739663
"152",100355.775739663
"153",100355.775739663
"154",100355.775739663
"155",100355.775739663
"156",100355.775739663
"157",100355.775739663
"158",100355.775739663
"159",100355.775739663
"160",86970.8171491295
"161",96923.8844386522
"162",93926.0630947837
"163",73982.9898753757
"164",73787.6520981285
"165",89450.9662783136
"166",92656.5070365115
"167",101061.007412439
"168",91213.1806038878
"169",92154.8166203547
"170",88661.0870307504
"171",96000.4208849173
"172",96000.4208849173
"173",96000.4208849173
"174",96000.4208849173
"175",94231.4833171342
"176",94333.4685715569
"177",97446.4851286966
"178",94039.0880915325
"179",91865.9551140504
"180",93655.2518337264
"181",93655.2518337264
"182",90827.71984428
"183",90783.7513031196
"184",101096.973570609
"185",91434.0379033065
"186",91434.0379033065
"187",101312.988235949
"188",101312.988235949
"189",101312.988235949
"190",86578.7903242925
"191",86578.7903242925
"192",86578.7903242925
"193",86578.7903242925
"194",90937.7166397106
"195",91301.4716272525
"196",95805.1057984025
"197",95805.1057984025
"198",95805.1057984025
"199",90137.2146688494
"200",71295.0713802083
"201",90739.7999982094
"202",99240.4221234775
"203",96831.2156958092
"204",96831.2156958092
"205",98357.7301273952
"206",88930.9550977886
"207",89505.2753932494
"208",97121.0439602257
"209",95232.5137486192
"210",91932.5502975276
"211",94344.8057812344
"212",87215.2330615202
"213",93452.5585874522
"214",93452.5585874522
"215",93452.5585874522
"216",91954.7573766715
"217",91954.7573766715
"218",91954.7573766715
"219",100941.1950377
"220",84049.8555420729
"221",84049.8555420729
"222",100272.369313452
"223",100272.369313452
"224",100272.369313452
"225",100272.369313452
"226",100272.369313452
"227",100272.369313452
"228",100272.369313452
"229",100272.369313452
"230",100272.369313452
"231",89886.1872500618
"232",94208.8320560815
"233",94412.8522104117
"234",93666.5229985757
"235",83411.6698410678
"236",96334.3495052287
"237",100558.568101427
"238",99808.703243301
"239",99808.703243301
"240",99808.703243301
"241",101025.051615622
"242",97423.2100875487
"243",96703.9133280943
"244",83617.1059743825
"245",98064.9163146956
"246",86240.8951141644
"247",96265.1837771829
"248",95874.0037586155
"249",95186.8263654466
"250",98745.3279811754
"251",100439.238333505
"252",93610.1781559857
"253",89212.3230676313
"254",98957.2656957217
"255",96958.6537252201
"256",100415.386145044
"257",98886.5789061678
"258",91224.2131994907
"259",96958.6537252201
"260",90520.3018365166
"261",100439.238333505
"262",93317.6272054851
"263",91611.0353390222
"264",101228.938167935
"265",96680.7820096431
"266",91899.2478212816
"267",92611.8229817489
"268",93194.0787266596
"269",100451.166147996
"270",90520.3018365166
"271",98217.0912749084
"272",98217.0912749084
"273",78173.0838288079
"274",78173.0838288079
"275",93452.5585874522
"276",97714.471873388
"277",85233.61069823
"278",96092.4453622394
"279",101156.940198989
"280",70970.3449158016
"281",92032.5163622834
"282",88209.2017021629
"283",75324.3105074665
"284",99713.8071899196
"285",99713.8071899196
"286",99713.8071899196
"287",99713.8071899196
"288",99713.8071899196
"289",99713.8071899196
"290",99713.8071899196
"291",99713.8071899196
"292",99713.8071899196
"293",99713.8071899196
"294",99713.8071899196
"295",99713.8071899196
"296",99713.8071899196
