Longitude,Latitude
106.2018,28.5346
107.9999,25.4087
107.8517,27.7837
119.9042,28.406
108.112,28.0319
83.1166667,24.9166667
83.1166667,24.9166667
35.35,-0.36667
35.35,-0.36667
108.0509,25.589
108.7527,24.5899
105.1376,25.5845
109.5946,26.8336
112.35,23.08
99.57,26.08
109.4,26.08
108.6,26.08
99.62,26.08
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
107.84,22.33
99.45,24.33
99.45,24.33
83,25.33
107.92,25.33
108,26.33
106.73,26.33
108.17,26.33
117.31,26.33
110.06,21.58
110.06,21.58
110.06,21.58
109.7,21.58
109.7,21.58
109.88,22.58
109.88,22.58
109.88,22.58
108.75,24.58
104.68,24.58
108.28,24.58
99.62,25.58
105.13,25.58
108.05,25.58
99.92,25.58
108.08,25.58
99.8,25.58
108.33,25.58
117.2017,24.705
121.57,24.83
109.75,26.83
109.75,26.83
109.75,26.83
109.58,26.83
103.8421,26.7068
114.5084,24.7041
108.3051,21.7032
107.6743,27.1362
109.7537,25.3853
109.55,28.38333333
109.3166667,18.63333333
110.6166667,19.88333333
102.5047,28.0085
114.4053,26.5085
111.7075,25.0076
114.0533,26.5076
107.9973,25.2567
118.1046,26.5058
118.051649,26.287547
100.830882,21.886611
117.4333333,26.19166667
102.55,25.31666667
109.6333333,26.81666667
110.1063,26.5004
99.7451,25.4361
107.9799,26.3084
99.6867,25.4334
48.430852,-18.93358
105.7739,26.6218
110,23.12
111.88,23.12
109.4,26.12
110.23,27.12
119.14,28.12
119.14,28.12
119.14,28.12
119.14,28.12
108.13,25.37
99.73,25.37
108.07,25.37
106.97,26.37
104.68,18.62
-89.55,18.62
108.28,25.62
109.52,26.62
105.77,26.62
109.58,27.62
110.6026,25.8075
99.73,25.87
99.62,25.87
107.92,28.87
101.2744444,21.91027778
118.7029,26.3057
109.936,25.1771
109.3244,26.2396
117.9262,26.8021
107.0732,21.9869
99.57,26.2351
104.4172,24.236
109.3553,27.1092
108.7154,26.7342
112.5394444,23.16916667
112.5394444,23.16916667
112.5394444,23.16916667
118.507,27.6056
118.1093,26.602
107.711,21.852
109.7226,21.4761
106.2862,28.5386
106.7058,27.1002
110.2084,26.3502
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
117.54,26.16
99.0807,26.16
118.64,27.16
118.64,27.16
118.64,27.16
118.64,27.16
118.64,27.16
118.64,27.16
110.21,20.41
110.21,20.41
110.21,20.41
110.21,20.41
110.21,20.41
110.21,20.41
110.21,20.41
110.21,20.41
110.21,20.41
110.21,20.41
113.6424,26.2823
106.0754,28.4064
107.6815,25.9064
115.6023,22.9028
113.8033,28.9028
104.6845,24.5876
108.831208,18.70972
111.3065,25.209
109.4018,30.209
109.411,21.459
107.614,27.709
111.3093,25.2063
109.2849,26.2063
121.109,24.5206
108.9296,25.9581
116.9059,25.7072
105.9059,26.7054
110.6217,19.8893
-78,8.6
-78,8.6
-78,8.6
-78,8.6
109.5,22.2
100.85,23.2
100.85,23.2
100.85,23.2
100.85,23.2
100.85,23.2
113.2,23.2
111.95,25.2
111.3,25.2
111.3,25.2
117.5,25.2
110.2,26.2
109.28,26.2
109.5,26.2
107.97,26.2
117.1,27.2
107,28.2
109.4,30.2
109.4,30.2
111.8833333,23.45
111.77,24.45
106.33,24.45
109.93,25.45
109.97,25.45
101.18,26.45
106.9833333,26.45
106.9833333,26.45
100.77,26.45
106.98,26.45
106.98,26.45
