"","fapar"
"150",0.39153892253836
"151",0.39153892253836
"152",0.39153892253836
"153",0.39153892253836
"154",0.39153892253836
"155",0.39153892253836
"156",0.39153892253836
"157",0.39153892253836
"158",0.39153892253836
"159",0.39153892253836
"160",0.674614396442967
"161",0.653606498986481
"162",0.666623328253624
"163",0.547692829743019
"164",0.385467240835245
"165",0.338472093703868
"166",0.604282678539553
"167",0.421751155269643
"168",0.556198250129802
"169",0.582145690011487
"170",0.597113595356563
"171",0.706279739116627
"172",0.706279739116627
"173",0.706279739116627
"174",0.706279739116627
"175",0.614305062716205
"176",0.642666236435369
"177",0.652771322603034
"178",0.626695919161031
"179",0.388479800336065
"180",0.33374847978353
"181",0.33374847978353
"182",0.392985534928739
"183",0.441357811515542
"184",0.490771207486603
"185",0.729258164515142
"186",0.729258164515142
"187",0.41728306095303
"188",0.41728306095303
"189",0.41728306095303
"190",0.696475841477514
"191",0.696475841477514
"192",0.696475841477514
"193",0.696475841477514
"194",0.669472406829384
"195",0.568224410315353
"196",0.502364098653191
"197",0.502364098653191
"198",0.502364098653191
"199",0.538998679320015
"200",0.562122956067327
"201",0.532857040377955
"202",0.471354585451401
"203",0.671050180867314
"204",0.671050180867314
"205",0.564095820051902
"206",0.600228580335792
"207",0.648907276143623
"208",0.646547930687663
"209",0.628395766640704
"210",0.709792783608035
"211",0.701159512251615
"212",0.513485448136927
"213",0.447103269969429
"214",0.447103269969429
"215",0.447103269969429
"216",0.61002067640427
"217",0.61002067640427
"218",0.61002067640427
"219",0.441391964443034
"220",0.394100825823852
"221",0.394100825823852
"222",0.491685063218079
"223",0.491685063218079
"224",0.491685063218079
"225",0.491685063218079
"226",0.491685063218079
"227",0.491685063218079
"228",0.491685063218079
"229",0.491685063218079
"230",0.491685063218079
"231",0.481311775309351
"232",0.630444517731665
"233",0.680832087496917
"234",0.644770663802825
"235",0.40205583336453
"236",0.626295204336441
"237",0.49259371896584
"238",0.329835083646076
"239",0.329835083646076
"240",0.329835083646076
"241",0.419312573920175
"242",0.695294792863959
"243",0.555931112547158
"244",0.698368232063089
"245",0.583117149050374
"246",0.764542124794502
"247",0.506792738569027
"248",0.572827496236604
"249",0.606148199501066
"250",0.639398123344577
"251",0.654322677985761
"252",0.620575700554622
"253",0.380591533885679
"254",0.655163349839294
"255",0.697412512614757
"256",0.486013470408386
"257",0.0983967554330962
"258",0.628621439749192
"259",0.701316750000144
"260",0.433854864442009
"261",0.390520619148663
"262",0.390587966996599
"263",0.712322511665477
"264",0.40244547310844
"265",0.684609547405653
"266",0.488395465081849
"267",0.448813532971128
"268",0.37928269815007
"269",0.4208995712434
"270",0.374134113175214
"271",0.362229313708097
"272",0.362229313708097
"273",0.768858735687926
"274",0.768858735687926
"275",0.450187159907235
"276",0.484665077411457
"277",0.380710214739362
"278",0.609247237896719
"279",0.419309628307805
"280",0.44162755149106
"281",0.639879022389646
"282",0.605465539942185
"283",0.489216300691175
"284",0.431159255243845
"285",0.431159255243845
"286",0.431159255243845
"287",0.431159255243845
"288",0.431159255243845
"289",0.431159255243845
"290",0.431159255243845
"291",0.431159255243845
"292",0.431159255243845
"293",0.431159255243845
"294",0.431159255243845
"295",0.431159255243845
"296",0.431159255243845
"297",0.431159255243845
"298",0.431159255243845
"299",0.431159255243845
"300",0.614327181850903
